,Unnamed: 0,OBJECTID,TAG,TENSION_NO,POTENCIA_I,POTENCIA_E,x,y,geometry,Ingreso
0,0,103.0,CH,,24.0,22.5,-70.35595611600002,-17.399158035000028,POINT (-70.35595611600002 -17.399158035000028),204055
1,1,104.0,CH,,12.4,10.5,-70.398205201,-17.42095806399999,POINT (-70.398205201 -17.42095806399999),146699
2,2,105.0,CH,,40.0,43.11,-77.31303211699998,-10.573657389000005,POINT (-77.31303211699998 -10.573657389000005),137875
3,3,106.0,CH,,83.0,80.433,-76.62369451,-11.836673537000024,POINT (-76.62369451 -11.836673537000024),204055
4,4,107.0,CH,,145.0,144.62,-71.445783801,-16.262542212000028,POINT (-71.445783801 -16.262542212000028),154420
5,5,108.0,CH,,150.0,150.9,-75.30365951700003,-11.302958918000002,POINT (-75.30365951700003 -11.302958918000002),147802
6,6,109.0,CH,,12.5,0.0,-80.630762,-5.037666999999999,POINT (-80.630762 -5.037666999999999),125742
7,7,110.0,CH,,36.0,38.147,-79.213392139,-7.238130087999991,POINT (-79.213392139 -7.238130087999991),134566
8,8,111.0,CH,,31.0,30.1,-76.775034769,-11.973842918000004,POINT (-76.775034769 -11.973842918000003),157729
9,9,112.0,CH,,19.6,19.64,-76.30668920199997,-11.780221632000009,POINT (-76.30668920199997 -11.780221632000007),129051
10,10,113.0,CH,,258.0,247.34,-76.61426097399999,-11.759611575000008,POINT (-76.61426097399999 -11.759611575000008),176480
11,11,114.0,CH,,52.0,48.021,-76.03549371499997,-11.417691409999977,POINT (-76.03549371499997 -11.417691409999975),217291
12,12,115.0,CH,,798.0,670.66,-74.65577070799998,-12.35406988599999,POINT (-74.65577070799998 -12.35406988599999),207364
13,13,116.0,CH,,60.0,66.12,-76.689522495,-11.927702786999989,POINT (-76.689522495 -11.927702786999987),194128
14,14,117.0,CH,,9.3,9.65,-76.03561400000001,-11.621978000000013,POINT (-76.03561400000001 -11.621978000000013),210673
15,15,118.0,CH,,220.0,222.2,-75.97681426399998,-12.837619270999994,POINT (-75.97681426399998 -12.837619270999994),180892
16,16,119.0,CH,,15.0,5.0,-80.525290805,-4.683749830000011,POINT (-80.525290805 -4.683749830000011),118021
17,17,120.0,CH,,210.0,215.37,-74.64231890299999,-12.34936753400001,POINT (-74.64231890299999 -12.34936753400001),184201
18,18,121.0,CH,,42.0,42.61,-75.47689107000002,-11.195027965999998,POINT (-75.47689107000002 -11.195027965999998),176480
19,19,122.0,CH,,108.0,112.68,-75.53536202100003,-10.739029562999974,POINT (-75.53536202100003 -10.739029562999974),194128
20,20,123.0,CH,,130.0,136.76,-75.64377871800002,-10.721777179000014,POINT (-75.64377871800002 -10.721777179000014),199643
21,21,124.0,CH,,90.6,90.6,-76.48413923700002,-11.65763918099998,POINT (-76.48413923700002 -11.657639180999979),130154
22,22,125.0,CH,,0.1,0.1,-79.878536,-5.025991999999974,POINT (-79.878536 -5.025991999999974),220600
23,23,126.0,CH,,264.0,263.49,-77.85008094,-8.810108786,POINT (-77.85008094 -8.810108786),142287
24,24,127.0,CH,,6.0,6.0,-75.55689181600002,-11.268568672000017,POINT (-75.55689181600002 -11.268568672000015),114712
25,25,128.0,CH,,14.4,15.3,-71.47434440900003,-16.291565433000017,POINT (-71.47434440900003 -16.291565433000017),110300
26,26,129.0,CH,,2.5,1.8,-79.20683616899998,-6.598666358000003,POINT (-79.20683616899998 -6.598666358000003),122433
27,27,130.0,CH,,8.0,8.25,-76.82290178599999,-6.148267007000015,POINT (-76.82290178599999 -6.148267007000015),173171
28,28,131.0,CH,,1.3,1.02,-71.27999999999997,-14.339999999999977,POINT (-71.27999999999997 -14.339999999999975),218394
29,29,132.0,CH,,0.25,0.23,-71.72055171,-15.223924033999992,POINT (-71.72055171 -15.223924033999992),180892
30,30,133.0,CH,,10.0,9.48,-75.91483787499999,-11.519330325,POINT (-75.91483787499999 -11.519330324999999),148905
31,31,134.0,CH,,3.2,2.8,-78.83844399999998,-5.713888999999995,POINT (-78.83844399999998 -5.713888999999995),173171
32,32,135.0,CH,,1.1,1.0,-77.36613899999998,-8.146319000000005,POINT (-77.36613899999998 -8.146319000000005),121330
33,33,136.0,CH,,1.82,1.4,-74.13135622599998,-13.625019263000013,POINT (-74.13135622599998 -13.625019263000013),189716
34,34,137.0,CH,,92.0,88.8,-72.56021408999999,-13.17426870700001,POINT (-72.56021408999999 -13.17426870700001),202952
35,35,138.0,CH,,4.61,3.8,-72.120249924,-15.02196361900002,POINT (-72.120249924 -15.021963619000019),174274
36,36,139.0,CH,,6.65,5.2,-78.4454,-5.407012000000009,POINT (-78.4454 -5.407012000000009),135669
37,37,140.0,CH,,4.5,5.1,-77.50466,-9.568066999999983,POINT (-77.50466 -9.568066999999985),133463
