,field_1,OBJECTID,TENSION_NO,POTENCIA_N,x,y
0,0,411.0,33.0,20.0,-71.47772802600002,-16.414298700000018
1,1,412.0,33.0,25.0,-71.55701797699999,-16.383325418000027
2,2,413.0,33.0,5.0,-72.01881913699998,-17.02343507400002
3,3,414.0,33.0,40.0,-71.54772518499999,-16.418670150000025
4,4,415.0,220.0,0.0,-73.30140224600001,-14.532672581999975
5,5,416.0,138.0,85.0,-74.615614768,-8.400229844000023
6,6,417.0,138.0,3.0,-77.85255504100002,-8.813040527999988
7,7,418.0,220.0,118.0,-77.87252946699999,-8.775190506000001
8,8,419.0,60.0,25.0,-78.50769545499998,-7.17779772199998
9,9,420.0,220.0,265.0,-79.86989180799998,-6.7820244399999865
10,10,421.0,60.0,5.0,-77.64780398300002,-9.273956861999977
11,11,422.0,138.0,26.0,-78.58395900099998,-9.059055949000026
12,12,423.0,60.0,20.0,-77.53731199999999,-9.511545000000012
13,13,424.0,138.0,7.0,-78.44338796,-9.235051173999977
14,14,425.0,220.0,20.0,-76.94180746,-9.901743002999979
15,15,426.0,220.0,100.0,-75.992052839,-9.28947182799999
16,16,427.0,138.0,27.0,-76.112955043,-8.937212155999987
17,17,428.0,220.0,95.0,-77.74170429899999,-10.68029866400002
18,18,429.0,138.0,53.0,-76.23864857500001,-9.937766567999972
19,19,430.0,138.0,0.0,-77.822477951,-10.670954484999982
20,20,431.0,220.0,0.0,-77.25226890900001,-10.102872244000025
21,21,432.0,220.0,0.0,-76.03253595799998,-10.920514376000028
22,22,433.0,220.0,60.0,-75.49346530499997,-9.03076868300002
23,23,434.0,220.0,225.0,-77.043743984,-9.56170001800001
24,24,435.0,220.0,0.0,-76.93292100000002,-9.894515000000013
25,25,436.0,60.0,6.5,-77.80333000000002,-9.062187999999992
26,26,437.0,138.0,0.0,-76.277114256,-10.673234911000009
27,27,438.0,220.0,120.0,-75.643900342,-10.722352780999984
28,28,439.0,138.0,30.0,-76.05719490000001,-10.930101229000002
29,29,440.0,138.0,0.0,-75.889492658,-11.371502678000013
30,30,441.0,138.0,80.0,-75.778137689,-11.378577248
31,31,442.0,220.0,0.0,-76.06449789599998,-11.632971123000004
32,32,443.0,220.0,50.0,-76.13227252000001,-11.733959544000015
33,33,444.0,138.0,200.0,-75.91766799999999,-11.532436000000018
34,34,445.0,220.0,1200.0,-76.96293007999998,-11.796945122000011
35,35,446.0,220.0,240.0,-77.11680813999999,-11.931572768000024
36,36,447.0,220.0,330.0,-76.88052131199998,-11.968539138999972
37,37,448.0,220.0,180.0,-77.047873015,-11.827422220000017
38,38,449.0,220.0,593.0,-76.99483462299997,-12.112329858999999
39,39,450.0,60.0,410.0,-76.97417900900001,-12.177036046000012
40,40,451.0,220.0,0.0,-77.066206282,-11.997688170999993
41,41,452.0,220.0,0.0,-76.84276229900001,-12.088092999000025
42,42,453.0,500.0,600.0,-76.72547772299998,-12.495830988000023
43,43,454.0,220.0,80.0,-75.22466001200002,-12.13192987399998
44,44,455.0,220.0,840.0,-74.650760693,-12.358279620000019
45,45,456.0,60.0,26.0,-74.376336901,-12.589435273999982
46,46,457.0,60.0,12.0,-74.24192383100001,-12.936970676999977
47,47,458.0,60.0,0.0,-74.22057161200001,-13.118080458999998
48,48,459.0,220.0,100.0,-75.692073091,-14.055220393000013
49,49,460.0,138.0,66.0,-72.07150453700001,-13.475496287999988
50,50,461.0,220.0,30.0,-74.952635751,-12.784604048999995
51,51,462.0,220.0,50.0,-76.177097866,-13.26578142400001
52,52,463.0,220.0,100.0,-75.96808217099999,-13.716607271999976
53,53,464.0,220.0,246.0,-76.16699208699998,-13.785008635999986
54,54,465.0,220.0,25.0,-76.30253985000002,-13.061177014999998
55,55,466.0,60.0,112.5,-75.24676235300001,-15.255471981000028
56,56,467.0,138.0,0.0,-70.46057330100001,-13.64581726199998
57,57,468.0,138.0,35.0,-69.22217124600002,-12.588704010000015
58,58,469.0,138.0,52.0,-71.90649167499998,-13.54635672400002
59,59,470.0,138.0,12.0,-70.36276467900001,-13.095532774999981
60,60,471.0,138.0,24.0,-70.32142732400001,-14.230935090000003
61,61,472.0,138.0,25.0,-72.560973477,-13.175252806000003
62,62,473.0,138.0,72.0,-70.11983635000001,-15.508861876000026
63,63,474.0,220.0,185.0,-70.05166267700002,-15.832163907999984
64,64,475.0,138.0,59.5,-70.20555979900001,-14.914358526000001
65,65,476.0,138.0,30.0,-70.39854244399999,-17.421177192000016
66,66,477.0,60.0,20.0,-70.33367359900001,-17.994533191000016
67,67,478.0,220.0,0.0,-70.317044485,-17.999181545
68,68,479.0,138.0,486.0,-71.36010850100001,-17.501688554999987
69,69,480.0,220.0,600.0,-70.96697249800002,-17.215449330000013
70,70,481.0,138.0,0.0,-70.62478707399998,-17.26775842699999
71,71,482.0,138.0,116.0,-70.76730759899999,-17.06157374899999
72,72,483.0,138.0,99.0,-70.624835915,-17.26882096899999
73,73,484.0,220.0,338.0,-71.187544,-17.775569001000008
74,74,485.0,138.0,120.0,-71.51633625400001,-16.473409301999993
